Id;Speaker;Reply_to;Text;GoldContextLabel;ContextSender;ContextText;PredictedLabel;PredictedContextLabel;Label
Utt_0;10-19-20sUser7;;now im left with this gay name;no_label;[other_Sender];[no_TextContent];continuer;no_label;inform
Utt_1;10-19-20sUser7;;:P;no_label;[other_Sender];[no_TextContent];misc;no_label;misc
Utt_2;10-19-20sUser59;;hey everyone;no_label;[other_Sender];[no_TextContent];greeting;no_label;greeting
Utt_3;10-19-20sUser115;Utt_0;ah well;inform;[other_Sender];now im left with this gay name;continuer;continuer;continuer
Utt_4;10-19-20sUser121;Utt_0;10-19-20sUser7 is a gay name.;inform;[other_Sender];now im left with this gay name;inform;continuer;agreement
Utt_5;10-19-20sUser7;;:);no_label;[other_Sender];[no_TextContent];misc;no_label;misc
Utt_6;10-19-20sUser115;Utt_2;hi 10-19-20sUser59;greeting;[other_Sender];hey everyone;greeting;greeting;greeting
Utt_7;10-19-20sUser21;;26/ m/ ky women that are nice please pm me;no_label;[other_Sender];[no_TextContent];instruct;no_label;instruct
Utt_8;10-19-20sUser115;Utt_0;there ya go 10-19-20sUser7;inform;[other_Sender];now im left with this gay name;goodbye;continuer;continuer
Utt_9;10-19-20sUser121;;don't golf clap me.;no_label;[other_Sender];[no_TextContent];instruct;no_label;instruct
Utt_10;10-19-20sUser7;Utt_9;fuck you 10-19-20sUser121:@;instruct;[other_Sender];don't golf clap me.;negativeExpression;instruct;negativeExpression
Utt_11;10-19-20sUser59;;whats everyone up to?;no_label;[other_Sender];[no_TextContent];setQuestion;no_label;setQuestion
Utt_12;10-19-20sUser121;Utt_10;i'll thunder clap your ass.;negativeExpression;[other_Sender];fuck you 10-19-20sUser121:@;suggestion;negativeExpression;offer
Utt_13;10-19-20sUser121;Utt_10;and i dont even know what that means.;negativeExpression;[other_Sender];fuck you 10-19-20sUser121:@;elaborate;negativeExpression;continuer
Utt_14;10-19-20sUser84;Utt_12;that sounds painful;offer;[other_Sender];i'll thunder clap your ass.;continuer;suggestion;continuer
Utt_15;10-19-20sUser49;;any ladis wanna chat?;no_label;[other_Sender];[no_TextContent];propositionalQuestion;no_label;propositionalQuestion
Utt_15;10-19-20sUser49;;29 m;no_label;[other_Sender];[no_TextContent];inform;no_label;inform
Utt_16;10-19-20sUser21;;26/m;no_label;[other_Sender];[no_TextContent];misc;no_label;inform
Utt_17;10-19-20sUser115;;my cousin drew a messed up pic on my cast;no_label;[other_Sender];[no_TextContent];inform;no_label;inform
Utt_18;10-19-20sUser23;;24/m;no_label;[other_Sender];[no_TextContent];misc;no_label;inform
Utt_19;10-19-20sUser121;;boo.;no_label;[other_Sender];[no_TextContent];negativeExpression;no_label;negativeExpression
Utt_20;10-19-20sUser21;;26/m and sexy;no_label;[other_Sender];[no_TextContent];inform;no_label;inform
Utt_21;10-19-20sUser7;Utt_17;lol 10-19-20sUser115;inform;[other_Sender];my cousin drew a messed up pic on my cast;positiveExpression;inform;negativeExpression
Utt_22;10-19-20sUser121;;boo.;no_label;[other_Sender];[no_TextContent];negativeExpression;no_label;negativeExpression
